"","net_size","t","Method","Graph","MC_Rate","mc_se","Dist","dist_se","count"
"423",90,0.2,"Omnibar","Graph 1",0.00061111111111111,0.000179567692288738,6.58076409819509,0.0409514133943236,200
"424",90,0.2,"Omnibar","Graph 2",0.00061111111111111,0.000179567692288738,6.58076409819509,0.0409514133943236,200
"425",90,0.3,"Abar","Graph 1",0.00255555555555555,0.00047068014378578,6.09097718855983,0.0404317201098825,200
"426",90,0.3,"Abar","Graph 2",0.00255555555555555,0.00047068014378578,6.09097718855983,0.0404317201098825,200
"427",90,0.3,"ASE","Graph 1",0.0086111111111111,0.00163791977517219,5.26378825384484,0.0363177444986635,200
"428",90,0.3,"ASE","Graph 2",0.161944444444444,0.00822380562567712,2.88140213147659,0.0376335749195901,200
"429",90,0.3,"Omni","Graph 1",0.005,0.0019433473813515,6.20626108437459,0.0393224721853831,200
"430",90,0.3,"Omni","Graph 2",0.0145,0.00197728508471148,4.92712544196972,0.0341491792238952,200
"431",90,0.3,"Omnibar","Graph 1",0.00205555555555555,0.000352927719314433,6.12929316218649,0.0398123415176399,200
"432",90,0.3,"Omnibar","Graph 2",0.00205555555555555,0.000352927719314433,6.12929316218649,0.0398123415176399,200
"433",90,0.4,"Abar","Graph 1",0.0061111111111111,0.00145607992396,5.53043601387869,0.0367951553855906,200
"434",90,0.4,"Abar","Graph 2",0.0061111111111111,0.00145607992396,5.53043601387869,0.0367951553855906,200
"435",90,0.4,"ASE","Graph 1",0.00722222222222222,0.00146245694683977,5.27012409598179,0.0369399944156562,200
"436",90,0.4,"ASE","Graph 2",0.275,0.0081864971540688,2.0931651880751,0.0392576975101525,200
"437",90,0.4,"Omni","Graph 1",0.00577777777777778,0.00199565257381126,5.92985661990953,0.0376999476184903,200
"438",90,0.4,"Omni","Graph 2",0.0305555555555555,0.00335443719553892,4.35297665141003,0.0302119884422355,200
"439",90,0.4,"Omnibar","Graph 1",0.00733333333333333,0.00223397228568569,5.61616918398833,0.0367674622429086,200
"440",90,0.4,"Omnibar","Graph 2",0.00733333333333333,0.00223397228568569,5.61616918398833,0.0367674622429086,200
"441",90,0.5,"Abar","Graph 1",0.0123333333333333,0.00150642275292016,5.03187202334453,0.0366482439008243,200
"442",90,0.5,"Abar","Graph 2",0.0123333333333333,0.00150642275292016,5.03187202334453,0.0366482439008243,200
"443",90,0.5,"ASE","Graph 1",0.0091111111111111,0.0016778149388913,5.2439817728935,0.0388200221521458,200
"444",90,0.5,"ASE","Graph 2",0.354666666666667,0.00660560158734916,1.30019316440846,0.0382466342367835,200
"445",90,0.5,"Omni","Graph 1",0.00494444444444444,0.0011487146108368,5.67704304548566,0.041513287688265,200
"446",90,0.5,"Omni","Graph 2",0.0555,0.00505230259620975,3.8491843315286,0.028989328243864,200
"447",90,0.5,"Omnibar","Graph 1",0.00983333333333333,0.00114460272224632,5.17121011932524,0.0377630099872309,200
"448",90,0.5,"Omnibar","Graph 2",0.00983333333333333,0.00114460272224632,5.17121011932524,0.0377630099872309,200
"449",90,0.6,"Abar","Graph 1",0.0262222222222222,0.00323993475925765,4.57604357821607,0.0355093437761597,200
